,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam
1950-1955,5.552,2.589,2.108,2.33,2.831,1.899,3.539,4.888,2.706,1.146,2.524
1955-1960,5.086,2.519,2.543,2.296,2.947,2.121,3.387,4.484,2.89,1.547,2.98
1960-1965,4.514,2.447,2.667,2.327,3.106,2.196,3.253,2.792,2.995,1.818,2.948
1965-1970,4.702,1.574,2.706,2.415,2.517,2.339,2.939,1.971,2.952,1.903,2.734
1970-1975,4.428,1.455,2.593,2.534,2.368,2.312,2.849,1.732,2.752,1.922,2.31
1975-1980,3.639,-2.34,2.414,1.31,2.524,2.231,2.744,1.302,2.253,-0.954,2.163
1980-1985,2.928,2.84,2.247,2.478,2.453,2.081,2.727,2.3,1.874,1.82,2.3
1985-1990,2.842,3.027,1.899,2.877,2.896,1.695,2.627,2.153,1.67,2.319,2.203
1990-1995,2.767,3.433,1.642,2.587,2.556,1.205,2.399,3.145,1.003,2.697,1.939
1995-2000,2.291,2.632,1.428,1.878,2.482,1.244,2.224,2.667,1.139,0.927,1.292
2000-2005,1.831,1.76,1.35,1.546,2.044,0.933,2.031,1.142,0.768,2.36,0.958
2005-2010,1.249,1.507,1.329,1.659,1.87,0.663,1.696,3.695,0.537,1.886,0.963
2010-2015,1.308,1.622,1.324,1.516,1.412,0.806,1.663,1.721,0.447,1.797,1.043
2015-2020,1.06,1.486,1.139,1.526,1.338,0.646,1.412,0.903,0.313,1.944,0.981
