,Norway,Switzerland,Ireland,"Hong Kong, China (SAR)",Germany,Iceland,Australia,Sweden,Singapore,Netherlands,Denmark,Finland,Canada,New Zealand,United Kingdom,United States,Belgium,Liechtenstein,Japan,Austria
1990,0.85,0.83,0.76,0.78,0.8,0.8,0.87,0.82,0.72,0.83,0.8,0.78,0.85,0.82,0.77,0.86,0.81,0,0.82,0.79
2000,0.92,0.89,0.86,0.83,0.87,0.86,0.9,0.9,0.82,0.88,0.86,0.86,0.87,0.87,0.87,0.88,0.87,0.86,0.86,0.84
2005,0.93,0.91,0.89,0.87,0.9,0.89,0.9,0.9,0.87,0.89,0.9,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.87,0.85
2010,0.94,0.93,0.89,0.9,0.92,0.89,0.93,0.91,0.91,0.91,0.91,0.9,0.89,0.9,0.91,0.91,0.9,0.9,0.88,0.9
2011,0.94,0.93,0.89,0.9,0.93,0.9,0.93,0.91,0.91,0.92,0.92,0.91,0.9,0.9,0.9,0.91,0.9,0.91,0.89,0.9
2012,0.94,0.94,0.9,0.91,0.93,0.91,0.93,0.91,0.92,0.92,0.92,0.91,0.91,0.9,0.9,0.92,0.91,0.91,0.89,0.9
2013,0.95,0.94,0.91,0.92,0.93,0.92,0.93,0.93,0.92,0.92,0.93,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.9,0.9
2014,0.95,0.94,0.92,0.92,0.93,0.92,0.93,0.93,0.93,0.93,0.93,0.92,0.91,0.91,0.92,0.91,0.91,0.91,0.9,0.9
2015,0.95,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.91,0.92,0.92,0.91,0.91,0.91,0.91
2016,0.95,0.94,0.94,0.93,0.94,0.93,0.94,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.91
2017,0.95,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.91
2018,0.95,0.95,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.91
